CodMunic	NomeMunic	Regiao	CodUF	SiglaUF	Populacao	FuncADMD	Maternidade	Emergencia
110001	Alta Floresta D'Oeste	1 - Norte	11	RO	24228	901	Não	Sim
110002	Ariquemes	1 - Norte	11	RO	91570	2579	Não	Sim
110003	Cabixi	1 - Norte	11	RO	6221	292	Não	Não
110004	Cacoal	1 - Norte	11	RO	78959	2154	Sim	Sim
110005	Cerejeiras	1 - Norte	11	RO	16939	573	Sim	Sim
110006	Colorado do Oeste	1 - Norte	11	RO	18338	527	Sim	Sim
110007	Corumbiara	1 - Norte	11	RO	8655	395	Não	Sim
110008	Costa Marques	1 - Norte	11	RO	14023	644	Sim	Sim
110009	Espigão D'Oeste	1 - Norte	11	RO	28963	869	Sim	Sim
110010	Guajará-Mirim	1 - Norte	11	RO	41934	1258	Sim	Sim
110011	Jaru	1 - Norte	11	RO	51883	1753	Sim	Sim
110012	Ji-Paraná	1 - Norte	11	RO	117363	3059	Sim	Sim
110013	Machadinho D'Oeste	1 - Norte	11	RO	31780	1107	Sim	Sim
110014	Nova Brasilândia D'Oeste	1 - Norte	11	RO	19883	672	Sim	Sim
110015	Ouro Preto do Oeste	1 - Norte	11	RO	37702	1318	Sim	Sim
110018	Pimenta Bueno	1 - Norte	11	RO	33981	1120	Sim	Sim
110020	Porto Velho	1 - Norte	11	RO	435732	12023	Sim	Sim
110025	Presidente Médici	1 - Norte	11	RO	22009	634	Sim	Sim
110026	Rio Crespo	1 - Norte	11	RO	3346	287	Não	Sim
110028	Rolim de Moura	1 - Norte	11	RO	50899	1378	Sim	Sim
110029	Santa Luzia D'Oeste	1 - Norte	11	RO	8678	371	Não	Sim
110030	Vilhena	1 - Norte	11	RO	77937	2460	Sim	Sim
110032	São Miguel do Guaporé	1 - Norte	11	RO	21879	710	Não	Sim
110033	Nova Mamoré	1 - Norte	11	RO	23143	999	Não	Sim
110034	Alvorada D'Oeste	1 - Norte	11	RO	16625	738	Sim	Sim
110037	Alto Alegre dos Parecis	1 - Norte	11	RO	12825	503	Não	Sim
110040	Alto Paraíso	1 - Norte	11	RO	17444	811	Não	Sim
110045	Buritis	1 - Norte	11	RO	32899	1183	Sim	Sim
110050	Novo Horizonte do Oeste	1 - Norte	11	RO	10084	542	Não	Sim
110060	Cacaulândia	1 - Norte	11	RO	5764	336	Não	Sim
110070	Campo Novo de Rondônia	1 - Norte	11	RO	12758	403	Não	Sim
110080	Candeias do Jamari	1 - Norte	11	RO	20292	829	Não	Sim
110090	Castanheiras	1 - Norte	11	RO	3527	334	Não	Sim
110092	Chupinguaia	1 - Norte	11	RO	8515	624	Não	Não
110094	Cujubim	1 - Norte	11	RO	16570	520	Não	Sim
110100	Governador Jorge Teixeira	1 - Norte	11	RO	10272	526	Não	Sim
110110	Itapuã do Oeste	1 - Norte	11	RO	8700	521	Não	Sim
110120	Ministro Andreazza	1 - Norte	11	RO	10277	409	Não	Sim
110130	Mirante da Serra	1 - Norte	11	RO	11781	470	Não	Sim
110140	Monte Negro	1 - Norte	11	RO	14204	527	Não	Sim
110143	Nova União	1 - Norte	11	RO	7437	382	Não	Sim
110145	Parecis	1 - Norte	11	RO	4902	251	Não	Não
110146	Pimenteiras do Oeste	1 - Norte	11	RO	2299	232	Não	Sim
110147	Primavera de Rondônia	1 - Norte	11	RO	3464	222	Não	Sim
110148	São Felipe D'Oeste	1 - Norte	11	RO	5939	297	Não	Sim
110149	São Francisco do Guaporé	1 - Norte	11	RO	16341	695	Não	Sim
110150	Seringueiras	1 - Norte	11	RO	11624	462	Sim	Não
110155	Teixeirópolis	1 - Norte	11	RO	4832	279	Não	Sim
110160	Theobroma	1 - Norte	11	RO	10612	596	Não	Sim
110170	Urupá	1 - Norte	11	RO	12828	440	Não	Sim
110175	Vale do Anari	1 - Norte	11	RO	9511	387	Não	Sim
110180	Vale do Paraíso	1 - Norte	11	RO	8084	451	Não	Sim
120001	Acrelândia	1 - Norte	12	AC	12779	529	Não	Sim
120005	Assis Brasil	1 - Norte	12	AC	6192	427	Não	Sim
120010	Brasiléia	1 - Norte	12	AC	21837	781	Sim	Não
120013	Bujari	1 - Norte	12	AC	8629	267	Não	Não
120017	Capixaba	1 - Norte	12	AC	9088	437	Não	Sim
120020	Cruzeiro do Sul	1 - Norte	12	AC	79174	1376	Sim	Sim
120025	Epitaciolândia	1 - Norte	12	AC	15394	505	Não	Não
120030	Feijó	1 - Norte	12	AC	32487	1047	Não	Sim
120032	Jordão	1 - Norte	12	AC	6740	662	Não	Sim
120033	Mâncio Lima	1 - Norte	12	AC	15554	659	Sim	Sim
120034	Manoel Urbano	1 - Norte	12	AC	8105	409	Não	Sim
120035	Marechal Thaumaturgo	1 - Norte	12	AC	14683	685	Não	Sim
120038	Plácido de Castro	1 - Norte	12	AC	17401	574	Não	Sim
120039	Porto Walter	1 - Norte	12	AC	9448	453	Não	Sim
120040	Rio Branco	1 - Norte	12	AC	342299	5060	Sim	Sim
120042	Rodrigues Alves	1 - Norte	12	AC	14832	769	Não	Sim
120043	Santa Rosa do Purus	1 - Norte	12	AC	4879	205	Não	Não
120045	Senador Guiomard	1 - Norte	12	AC	20387	314	Não	Não
120050	Sena Madureira	1 - Norte	12	AC	38709	817	Sim	Sim
120060	Tarauacá	1 - Norte	12	AC	36186	716	Sim	Sim
120070	Xapuri	1 - Norte	12	AC	16370	385	Sim	Sim
120080	Porto Acre	1 - Norte	12	AC	15213	375	Não	Não
130002	Alvarães	1 - Norte	13	AM	14237	888	Não	Sim
130006	Amaturá	1 - Norte	13	AM	9633	140	Não	Não
130008	Anamã	1 - Norte	13	AM	10495	418	Sim	Sim
130010	Anori	1 - Norte	13	AM	16701	560	Sim	Não
130014	Apuí	1 - Norte	13	AM	18326	699	Não	Sim
130020	Atalaia do Norte	1 - Norte	13	AM	15545	813	Não	Sim
130030	Autazes	1 - Norte	13	AM	32733	2374	Não	Sim
130040	Barcelos	1 - Norte	13	AM	25835	1152	Não	Sim
130050	Barreirinha	1 - Norte	13	AM	27722	1329	Não	Não
130060	Benjamin Constant	1 - Norte	13	AM	34194	1580	Não	Sim
130063	Beruri	1 - Norte	13	AM	15828	999	Não	Sim
130068	Boa Vista do Ramos	1 - Norte	13	AM	15325	1004	Não	Não
