CodMunic	NomeMunic	Regiao	CodUF	SiglaUF	Populacao	FuncADMD	Maternidade	Emergencia	mater	emerg	materemerg	sqrtPop	estrato
430222	Boa Vista do Cadeado	4	43	RS	2439	181	Não	Não	0	0	0	49.386232899463	1
241050	Rafael Fernandes	2	24	RN	4727	202	Não	Sim	0	1	0	68.7531817445564	1
314655	Pai Pedro	3	31	MG	5942	385	Não	Não	0	0	0	77.0843693624071	1
315950	Santa Rita do Itueto	3	31	MG	5670	280	Não	Não	0	0	0	75.2994023880668	1
314020	Maripá de Minas	3	31	MG	2803	226	Não	Não	0	0	0	52.9433659677962	1
432375	Vitória das Missões	4	43	RS	3448	190	Não	Sim	0	1	0	58.7196730236128	1
430512	Cerrito	4	43	RS	6362	312	Não	Não	0	0	0	79.7621464104371	1
220225	Canavieira	2	22	PI	3907	276	Não	Sim	0	1	0	62.5059997120276	1
354720	Santana da Ponte Pensa	3	35	SP	1622	141	Não	Não	0	0	0	40.2740611312045	1
310770	Bom Jesus do Amparo	3	31	MG	5543	236	Não	Não	0	0	0	74.4513263817375	1
260545	Fernando de Noronha	2	26	PE	2675	0	Não	Sim	0	1	0	51.720402163943	1
311190	Cana Verde	3	31	MG	5584	267	Não	Não	0	0	0	74.7261667690776	1
350770	Braúna	3	35	SP	5070	271	Não	Sim	0	1	0	71.2039324756716	1
421225	Passo de Torres	4	42	SC	6798	242	Não	Não	0	0	0	82.4499848392952	1
410790	Floresta	4	41	PR	5994	360	Não	Sim	0	1	0	77.4209274033836	1
250550	Vista Serrana	2	25	PB	3543	257	Não	Não	0	0	0	59.5231047577325	1
171150	Jaú do Tocantins	1	17	TO	3537	217	Não	Não	0	0	0	59.472682804797	1
221035	São Lourenço do Piauí	2	22	PI	4439	192	Não	Não	0	0	0	66.6258208204597	1
510729	São José do Povo	5	51	MT	3634	201	Não	Não	0	0	0	60.2826674924061	1
521350	Monte Alegre de Goiás	5	52	GO	7795	322	Não	Não	0	0	0	88.289297199604	1
312730	Galiléia	3	31	MG	6929	824	Sim	Sim	1	1	1	83.240615086627	1
353610	Pardinho	3	35	SP	5648	325	Não	Sim	0	1	0	75.1531769122237	1
353286	Nova Castilho	3	35	SP	1136	143	Não	Sim	0	1	0	33.7045990927054	1
410855	Godoy Moreira	4	41	PR	3299	162	Não	Sim	0	1	0	57.4369219230975	1
431515	Progresso	4	43	RS	6158	172	Sim	Sim	1	1	1	78.4729252672538	1
355570	União Paulista	3	35	SP	1618	161	Não	Não	0	0	0	40.2243707222375	1
315737	Santa Cruz de Salinas	3	31	MG	4366	312	Não	Não	0	0	0	66.0757141467272	1
412795	Tupãssi	4	41	PR	7996	338	Não	Sim	0	1	0	89.4203556244326	1
316780	Soledade de Minas	3	31	MG	5716	224	Não	Não	0	0	0	75.6042326857432	1
521440	Nazário	5	52	GO	7970	277	Sim	Sim	1	1	1	89.2748564826626	1
316350	São José do Jacuri	3	31	MG	6535	318	Não	Sim	0	1	0	80.8393468553526	1
431360	Paim Filho	4	43	RS	4198	184	Não	Sim	0	1	0	64.7919748117003	1
292780	Santa Cruz da Vitória	2	29	BA	6630	557	Não	Sim	0	1	0	81.4248119432891	1
522157	Uirapuru	5	52	GO	2925	216	Não	Não	0	0	0	54.0832691319598	1
431090	Jacutinga	4	43	RS	3620	145	Não	Não	0	0	0	60.1664358259653	1
352950	Mendonça	3	35	SP	4708	279	Não	Sim	0	1	0	68.6148671936338	1
352060	Indiana	3	35	SP	4817	234	Não	Não	0	0	0	69.4046107978425	1
241080	Riacho de Santana	2	24	RN	4153	247	Sim	Não	1	0	0	64.4437739428721	1
313835	Leme do Prado	3	31	MG	4810	301	Não	Não	0	0	0	69.3541635375988	1
312440	Espírito Santo do Dourado	3	31	MG	4450	229	Não	Não	0	0	0	66.7083203206317	1
291780	Jaguaripe	2	29	BA	16701	737	Não	Não	0	0	0	129.232348891444	2
353630	Patrocínio Paulista	3	35	SP	13122	395	Sim	Sim	1	1	1	114.551298552221	2
240140	Baía Formosa	2	24	RN	8631	439	Não	Não	0	0	0	92.9031754032121	2
430500	Catuípe	4	43	RS	9256	339	Não	Sim	0	1	0	96.2081077664456	2
412150	Rebouças	4	41	PR	14216	453	Sim	Sim	1	1	1	119.230868486311	2
260515	Dormentes	2	26	PE	17110	781	Sim	Sim	1	1	1	130.805198673447	2
411270	Jataizinho	4	41	PR	11918	429	Sim	Sim	1	1	1	109.169592836101	2
330015	Aperibé	3	33	RJ	10382	688	Sim	Sim	1	1	1	101.892099791888	2
290205	Araças	2	29	BA	11602	887	Não	Sim	0	1	0	107.712580509428	2
430530	Chapada	4	43	RS	9349	405	Sim	Sim	1	1	1	96.6902270139025	2
312300	Dores de Campos	3	31	MG	9372	322	Não	Sim	0	1	0	96.8090904822476	2
317160	Virgem da Lapa	3	31	MG	13615	505	Sim	Sim	1	1	1	116.683332143027	2
220250	Caracol	2	22	PI	10332	303	Não	Não	0	0	0	101.646446076584	2
412340	Santa Fé	4	41	PR	10552	313	Não	Sim	0	1	0	102.72292830717	2
510345	Denise	5	51	MT	8605	246	Não	Sim	0	1	0	92.7631392310545	2
510337	Cotriguaçu	5	51	MT	15455	466	Não	Não	0	0	0	124.31814026923	2
171190	Lagoa da Confusão	1	17	TO	10521	420	Não	Sim	0	1	0	102.571925983673	2
293310	Várzea do Poço	2	29	BA	8711	410	Não	Sim	0	1	0	93.33273809334	2
130423	Tonantins	1	13	AM	17200	898	Não	Não	0	0	0	131.14877048604	2
292190	Mucugê	2	29	BA	10342	874	Não	Sim	0	1	0	101.695624291314	2
220760	Parnaguá	2	22	PI	10348	3891	Sim	Sim	1	1	1	101.725119808236	2
510305	Cláudia	5	51	MT	11122	311	Sim	Não	1	0	0	105.460893225878	2
260130	Barra de Guabiraba	2	26	PE	12918	632	Não	Sim	0	1	0	113.65737987478	2
420500	Dionísio Cerqueira	4	42	SC	14855	560	Sim	Sim	1	1	1	121.881089591454	2
270460	Maravilha	2	27	AL	10023	524	Não	Sim	0	1	0	100.114933950935	2
320013	Águia Branca	3	32	ES	9513	545	Não	Não	0	0	0	97.5346092420532	2
431610	Ronda Alta	4	43	RS	10235	305	Sim	Sim	1	1	1	101.168176814649	2
351690	General Salgado	3	35	SP	10658	357	Não	Não	0	0	0	103.237590053236	2
220350	Elesbão Veloso	2	22	PI	14452	619	Não	Sim	0	1	0	120.21647141719	2
270720	Poço das Trincheiras	2	27	AL	13922	673	Não	Sim	0	1	0	117.991525119392	2
312450	Estiva	3	31	MG	10882	308	Sim	Sim	1	1	1	104.316825105062	2
150260	Colares	1	15	PA	11439	404	Não	Não	0	0	0	106.953260819855	2
220430	Fronteiras	2	22	PI	11202	552	Não	Não	0	0	0	105.839501132611	2
251660	Tavares	2	25	PB	14143	657	Não	Sim	0	1	0	118.924345699272	2
316190	São Gonçalo do Rio Abaixo	3	31	MG	9878	1564	Não	Sim	0	1	0	99.3881280636677	2
316555	Setubinha	3	31	MG	11008	349	Não	Não	0	0	0	104.919016388832	2
230426	Deputado Irapuan Pinheiro	2	23	CE	9150	512	Sim	Sim	1	1	1	95.655632348545	2
412120	Quitandinha	4	41	PR	17229	530	Não	Sim	0	1	0	131.259285385835	2
290910	Coribe	2	29	BA	14258	701	Não	Sim	0	1	0	119.406867474195	2
312125	Delta	3	31	MG	8322	462	Não	Sim	0	1	0	91.2249965744039	2
150430	Maracanã	1	15	PA	28438	1926	Não	Sim	0	1	0	168.635702032517	3
261580	Tupanatinga	2	26	PE	24704	1028	Sim	Sim	1	1	1	157.175061635108	3
317090	Varzelândia	3	31	MG	19112	813	Sim	Sim	1	1	1	138.246157270284	3
330515	São José do Vale do Rio Preto	3	33	RJ	20398	863	Não	Sim	0	1	0	142.821566998825	3
420545	Forquilhinha	4	42	SC	22871	947	Não	Sim	0	1	0	151.231610452313	3
292595	Rafael Jambeiro	2	29	BA	22896	1027	Não	Sim	0	1	0	151.314242555022	3
